Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
Honda City  2015 1.3 i-VTEC for Sale,PKR 27.75lacs,N/A,Karachi,2015,"88,000 km",Petrol,1300 cc,Manual
Honda Vezel  2016 Hybrid RS Honda Sensing  for Sale,PKR 65lacs,N/A,Islamabad,2016,"100,000 km",Petrol,1500 cc,Automatic
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48lacs,N/A,Faisalabad,2017,"75,000 km",Petrol,1800 cc,Automatic
Toyota Sienta  2019  for Sale,PKR 63.75lacs,N/A,Multan,2019,"95,000 km",Hybrid,1500 cc,Automatic
KIA Sportage  2022 AWD for Sale,PKR 78.5lacs,N/A,Karachi,2022,"14,500 km",Petrol,2000 cc,Automatic
Honda Vezel  2021 e-HEV Z for Sale,PKR 99lacs,N/A,Karachi,2021,"11,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla Axio  2020 G for Sale,PKR 69lacs,N/A,Karachi,2020,"46,000 km",Hybrid,1500 cc,Automatic
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 33.5lacs,N/A,Lahore,2014,"96,000 km",Petrol,1800 cc,Automatic
Suzuki Every  2019 GA for Sale,PKR 25.5lacs,N/A,Karachi,2019,"148,000 km",Petrol,660 cc,Automatic
Honda Vezel  2018 Hybrid Z for Sale,PKR 75lacs,N/A,Sialkot,2018,"56,957 km",Hybrid,1500 cc,Automatic
Toyota Prius  2018 S Touring Selection for Sale,PKR 76lacs,N/A,Sialkot,2018,"58,000 km",Hybrid,1800 cc,Automatic
Honda N Wgn  2021 G Turbo  for Sale,PKR 36.5lacs,N/A,Sialkot,2021,"30,000 km",Petrol,660 cc,Automatic
Honda City 5th (GM2) Generation 2020 1.3 i-VTEC Prosmatec for Sale,PKR 39.75lacs,N/A,Kharian,2020,"66,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2021 Altis X CVT-i 1.8 for Sale,PKR 55.5lacs,N/A,Karachi,2021,"38,000 km",Petrol,1800 cc,Automatic
Toyota Prius  2013 S LED Edition 1.8 for Sale,PKR 41.9lacs,N/A,Rawalpindi,2013,"198,000 km",Hybrid,1800 cc,Automatic
Honda Civic  2006 EXi for Sale,PKR 17.8lacs,N/A,Rawalpindi,2006,2 km,Petrol,1500 cc,Manual
